pais_escucha,nacionalidad_artista,streams_total,artistas_distintos,canciones_distintas,total_pais,peso_relativo
Argentina,Chile,12245430,8,4,285362921,4.29
Argentina,Argentina,117428622,53,50,285362921,41.15
Argentina,Colombia,32150701,9,9,285362921,11.27
Argentina,México,7099697,2,2,285362921,2.49
Argentina,Puerto Rico,62091505,25,28,285362921,21.76
Argentina,Otros,54346966,23,24,285362921,19.04
Chile,Chile,97696247,46,53,211566291,46.18
Chile,Argentina,8461810,9,7,211566291,4.0
Chile,Colombia,20711437,11,11,211566291,9.79
Chile,México,6203828,4,4,211566291,2.93
Chile,Puerto Rico,46302755,29,29,211566291,21.89
Chile,Otros,32190214,19,21,211566291,15.22
Colombia,Colombia,166729182,44,74,253366472,65.81
Colombia,México,19232600,8,9,253366472,7.59
Colombia,Puerto Rico,46613217,28,30,253366472,18.4
Colombia,Otros,20791473,19,21,253366472,8.21
México,Chile,2893796,2,1,1355035568,0.21
México,Colombia,7973380,2,2,1355035568,0.59
México,México,1189889678,42,87,1355035568,87.81
México,Puerto Rico,80550588,4,9,1355035568,5.94
México,Otros,73728126,14,14,1355035568,5.44
