rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,4,87,"1387041"
2,"spotify:track:2KpDYs0MexRXVAqNoHhJwk","Katteyes, SINAKA","ALO","Rimas Entertainment LLC.",1,1,7,"1261264"
3,"spotify:track:1bot94AA9sDNpktYCHmN78","Jere Klein, Jairo Vera, Gittobeatz","DUBAI","2026 JERE KLEIN",1,2,5,"1254706"
4,"spotify:track:6g1u7IdhcA9rZUV3Pizsj8","SINAKA","SENDA BELLAKONA","2025 Sinaka under exclusive license to BZR Music LLC",1,3,17,"1020055"
5,"spotify:track:3av1uwgFJsDxdb3eI7WfN6","Jere Klein, Valdi","ARABE","2026 JERE KLEIN",5,6,2,"975746"
6,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,8,14,"940020"
7,"spotify:track:5fKb9vC0HYr636KQnRAEUq","Kreamly, Baby Jey, Tobal Mj","LO QUE TU PIDAS","Virgin Music Chile",5,5,3,"854779"
8,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,7,63,"774710"
9,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",9,10,4,"743457"
10,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",6,9,63,"740000"
11,"spotify:track:72Cp6EZ55iI9ZyO7WEBZtr","Jere Klein, Tobal Mj, Lyon la f","HOTEL","2026 JERE KLEIN",11,24,2,"730930"
12,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",5,11,25,"700195"
13,"spotify:track:5AchK5XMO4AwN99yYcDPQc","Jairo Vera, Juhn","Troka","WM Chile",13,31,7,"662529"
14,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",14,28,4,"661488"
15,"spotify:track:4j5ZSTHkXQbV0c8EassD0N","Germanini, Lyon la f, JhonAlex, Nacho G Flow","Comando Estelar","Stars Music Chile 2024",1,20,31,"658940"
16,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",6,18,44,"656813"
17,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",3,15,63,"642885"
18,"spotify:track:4AL4EamHEBKPpdcFRkYdXN","Lauta, Amigo de Artistas, Tote","Puñaladas","LEB Records",18,26,10,"629161"
19,"spotify:track:5wPTk2TCDDuQRfqkZukWnk","King Savagge, Lyon la f, Katteyes, Lewis Somes","Pasajero","King savagge",1,17,18,"627959"
20,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",1,14,63,"626272"
21,"spotify:track:3D9mWy43zoJFWQUE6sz6ax","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2026 JERE KLEIN",1,21,32,"616459"
22,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,16,63,"613610"
23,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",17,22,34,"608408"
24,"spotify:track:7CMj1OOS1ho4CPEQTFKzcN","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",1,25,43,"607696"
25,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",14,23,13,"606140"
26,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",13,13,11,"603644"
27,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",3,12,22,"600107"
28,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,19,63,"589188"
29,"spotify:track:6D04cLJF71OwuyqxDusWwP","Jere Klein, Mateo on the Beatz","CHALET","2026 JERE KLEIN",29,37,2,"586831"
