rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3yidFe42tke37g3KP7wzZr","Mr Plata, El Americano 4KT","Las Muñequitas","Universal Music Colombia S.A.S.",1,1,11,"1790232"
2,"spotify:track:5pWjftak57bAYP6yjQPBhq","Kris R.","GANAS","WEA Latina",2,2,9,"1588378"
3,"spotify:track:73PS9sOst7Jwxn95n0AlBS","W Sound, Kris R., Ovy On The Drums","Pico Y Chao (W Sound 08)","WEA Latina",3,5,2,"1527386"
4,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,4,20,"1460810"
5,"spotify:track:3CBEVPwR3kUXDoTx1lqFUQ","ARIA VEGA, Ryan Castro","CHÉVERE (premium_remix)","WEA Latina",2,3,5,"1440019"
6,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,6,56,"1148715"
7,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,7,44,"1026672"
8,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,10,44,"1026017"
9,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",3,11,56,"1023529"
10,"spotify:track:0bn8tRZZtmn6Zdq82T1mOf","Kris R., GeezyDee","TUKI TUKI","WEA Latina",10,-1,1,"1021717"
11,"spotify:track:5U3sC7aA5NxoMSeI1kmO2n","Blessd, Los Money Makers, Prodmonja","NUEVA YORK","WEA Latina",8,12,42,"977027"
12,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",12,16,6,"976729"
13,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",4,8,81,"974618"
