rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3e32UUqXzrI4g2y5kNZrwC","Peso Pluma, Tito Double P","dopamina","Double P Records",1,1,12,"8650166"
2,"spotify:track:136BeIIoBGrrU9fI1jbcDR","Peso Pluma, Tito Double P","daño","Double P Records",2,3,12,"7757327"
3,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",1,2,25,"7654432"
4,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",2,5,9,"6969711"
5,"spotify:track:4lzo6zPM2paqyP8oBp3DOs","Peso Pluma, Tito Double P","7-3","Double P Records",2,6,12,"6903078"
6,"spotify:track:5Q4HTsEGKanxOwL1nYCnhQ","Peso Pluma, Tito Double P, LENCHO","chiclona","Double P Records",4,4,3,"6617229"
7,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",4,7,18,"6525540"
8,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,8,14,"6035651"
9,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,10,38,"6029883"
10,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,9,46,"6002235"
11,"spotify:track:1nkrOMcNi5TAwYWDQAOaB3","Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE","4x4","Rico o Muerto Music",5,11,9,"5564932"
12,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",1,13,46,"5523845"
13,"spotify:track:2A2x5MZB5OrnnKkVOxx5dp","Peso Pluma, Tito Double P","tu con el","Double P Records",12,12,12,"5284631"
14,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",2,15,40,"4986692"
15,"spotify:track:2MzaScXAL8wrSU9tlEijo6","BeatBoy, Victor Mendivil","Pase y Toque","Xkalibvr Music",10,14,14,"4795406"
16,"spotify:track:0PA6wI9DZ0bWMaSpXyTrAW","Chuyin","PUES QUE LE HAGO ?","Streetmob Records",16,17,10,"4736924"
17,"spotify:track:1eunv1DeEi29UfAcVEoLTt","Tito Double P","POR SUS BESOS","Double P Records",1,20,36,"4609026"
18,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,16,64,"4529263"
