rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,1,2,"8028399"
2,"spotify:track:6n9JMoXkXu4lDOu1k6MRpy","DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte","Reliquia do 2T","Sonar Music",1,2,7,"7994263"
3,"spotify:track:65aH3l8LEmRp3HuH5XpKoH","Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK","Carnívoro","Universal Music Ltda (S&D)",1,7,10,"5868480"
4,"spotify:track:7qqixxBvZIGSep53Eh2o0b","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY","Gauchinha","2025 Kondzilla Nova Era",4,4,15,"5847011"
5,"spotify:track:4tYCyoSpv0Ujpfwcneb02l","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","BOLOLO REC",1,5,28,"5629234"
6,"spotify:track:4V2rUOmaevK0C1bKAkeFf5","Panda, MJ Records","Eu Te Seguro - Ao Vivo","Sony Music Entertainment",2,3,28,"5416454"
7,"spotify:track:6kaWah1Acn1dtNjAy6sm1p","DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original","Diário de um Cafajeste","GRINGOS WORLD PRODUTORA",6,9,21,"5064988"
8,"spotify:track:2FBgVaH95hUfKBK8GUbvju","DJ Japa NK, MC Meno K","Amo Minha Favela","BOLOLO REC",3,12,16,"4964455"
9,"spotify:track:3jhyw60F61gc7nC4dblqtC","PEDRO SAMPAIO, MC Meno K, Melody","JETSKI","Sony Music Entertainment",1,10,15,"4768784"
10,"spotify:track:2Hw0LzrD6ic8AckKBxJhiO","Murilo Huff","Deixa Eu - Ao Vivo","M Show",8,11,33,"4630377"
11,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",6,6,2,"4398794"
12,"spotify:track:38Ps9Kui6qJjpVqdBOfN5M","Grupo Menos É Mais, Simone Mendes","P do Pecado - Ao Vivo","Som Livre",1,18,48,"4321227"
13,"spotify:track:4ukpXdplqDEMk3Fy2i30oI","MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat","ME POSTOU NO DAILY - FESTA DO BIG G","WM Brazil",2,22,27,"4152977"
14,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,8,2,"4018253"
15,"spotify:track:4SjcIkVc4cvFgURD1EHxDM","Vitinho Imperador","Eu Me Apaixonei","Vitinho Imperador",3,21,32,"3984253"
16,"spotify:track:4y93vvzu2h8MITw7YyUTcI","Henrique & Juliano","Última Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,28,79,"3925183"
17,"spotify:track:7dNXSf4lS30n1lBfFavQK5","Felipe e Rodrigo","Ignora (Ao Vivo)","MK Records",17,26,17,"3808971"
18,"spotify:track:1JZDwJgE9VSC0V2GR66z63","DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam","SET DO JAPA NK 2.0","Bololo Records",5,23,19,"3795169"
19,"spotify:track:6bor3RIvmpmz5c435liCs9","Júnior e Cézar","Cheiro De Culpado - Ao Vivo","Universal Music Ltda.",19,34,20,"3640373"
20,"spotify:track:3JojUdNlifAfB5J9dLvJ9H","Diego & Victor Hugo","Tubarões - Ao Vivo","Sony Music Entertainment",1,24,59,"3636092"
21,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",16,16,2,"3628780"
