Pais;Fecha;Rank;Artista;Canci�n;Peak rank;Semanas en chart;Streams;Fuente
Brasil;02-04-2026;1;BTS;SWIM;1;2;8028399;Spotify Charts
Brasil;02-04-2026;2;DJ Gu, MC Vine7, MC Tuto, MC Jo�ozinho VT, Mc Dkziin, MC Fr da Norte;Reliquia do 2T;1;7;7994263;Spotify Charts
Brasil;02-04-2026;3;Mc Jacare?, Mc Lele JP, Mc Neg�o Original, DJ Japa NK;Carn�voro;1;10;5868480;Spotify Charts
Brasil;02-04-2026;4;DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY;Gauchinha;4;15;5847011;Spotify Charts
Brasil;02-04-2026;5;DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacare?, DJ DAVI DOGDOG;Posso At� N�o Te Dar Flores;1;28;5629234;Spotify Charts
Brasil;02-04-2026;6;Panda, MJ Records;Eu Te Seguro - Ao Vivo;2;28;5416454;Spotify Charts
Brasil;02-04-2026;7;DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Neg�o Original;Di�rio de um Cafajeste;6;21;5064988;Spotify Charts
Brasil;02-04-2026;8;DJ Japa NK, MC Meno K;Amo Minha Favela;3;16;4964455;Spotify Charts
Brasil;02-04-2026;9;PEDRO SAMPAIO, MC Meno K, Melody;JETSKI;1;15;4768784;Spotify Charts
Brasil;02-04-2026;10;Murilo Huff;Deixa Eu - Ao Vivo;8;33;4630377;Spotify Charts
Brasil;02-04-2026;11;BTS;Body to Body;6;2;4398794;Spotify Charts
Brasil;02-04-2026;12;Grupo Menos � Mais, Simone Mendes;P do Pecado - Ao Vivo;1;48;4321227;Spotify Charts
Brasil;02-04-2026;13;MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat;ME POSTOU NO DAILY - FESTA DO BIG G;2;27;4152977;Spotify Charts
Brasil;02-04-2026;14;BTS;Hooligan;8;2;4018253;Spotify Charts
Brasil;02-04-2026;15;Vitinho Imperador;Eu Me Apaixonei;3;32;3984253;Spotify Charts
Brasil;02-04-2026;16;Henrique & Juliano;�ltima Saudade (Ao Vivo);1;79;3925183;Spotify Charts
Brasil;02-04-2026;17;Felipe e Rodrigo;Ignora (Ao Vivo);17;17;3808971;Spotify Charts
Brasil;02-04-2026;18;DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacare?, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam;SET DO JAPA NK 2.0;5;19;3795169;Spotify Charts
Brasil;02-04-2026;19;J�nior e C�zar;Cheiro De Culpado - Ao Vivo;19;20;3640373;Spotify Charts
Brasil;02-04-2026;20;Diego & Victor Hugo;Tubar�es - Ao Vivo;1;59;3636092;Spotify Charts
Brasil;02-04-2026;21;BTS;2.0;16;2;3628780;Spotify Charts
Brasil;02-04-2026;22;Gusttavo Lima;Assunto Que D�i;13;4;3622453;Spotify Charts
Brasil;02-04-2026;23;Grupo Menos � Mais, NATTAN;Pela �ltima Vez - Ao Vivo;3;32;3605895;Spotify Charts
Brasil;02-04-2026;24;Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S;PEGA A MALDADE DA BANDIDA;14;9;3565330;Spotify Charts
Brasil;02-04-2026;25;BTS;NORMAL;15;2;3470253;Spotify Charts
Brasil;02-04-2026;26;Mayke & Rodrigo, Panda;Bebe, Beija e Trai - Ao Vivo;20;17;3469066;Spotify Charts
Brasil;02-04-2026;27;MC Meno K, Dj Yuri Pedrada;Bola Uma Vela (Trava Chip);27;3;3444705;Spotify Charts
Brasil;02-04-2026;28;BTS;Aliens;14;2;3391522;Spotify Charts
Brasil;02-04-2026;29;BTS;FYA;13;2;3373712;Spotify Charts
Brasil;02-04-2026;30;BTS;Like Animals;17;2;3359067;Spotify Charts
Brasil;02-04-2026;31;Mc Lele JP, Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF;Famoso �m� | O poderoso chat�o;31;2;3298268;Spotify Charts
Brasil;02-04-2026;32;BTS;they don�t know �bout us;19;2;3284431;Spotify Charts
Brasil;02-04-2026;33;MC Meno K, Oruam, Fepache;Lembrei de Tu;14;7;3279446;Spotify Charts
Brasil;02-04-2026;34;Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR;Vai Tomando Pock Pock;13;26;3251367;Spotify Charts
Brasil;02-04-2026;35;Murilo Huff;Saudade Estranha - Du Nada - Ao Vivo;24;5;3224857;Spotify Charts
Brasil;02-04-2026;36;Murilo Huff, Mar�lia Mendon�a;Dois Enganados;34;190;3176470;Spotify Charts
Brasil;02-04-2026;37;Ferrugem;Arrependida�o (Onde Voc� Anda);37;4;3123707;Spotify Charts
Brasil;02-04-2026;38;BTS;Merry Go Round;20;2;3039139;Spotify Charts
Brasil;02-04-2026;39;Mari Fernandez, Grelo, Natanzinho Lima;Saudade do Carai;18;19;3013492;Spotify Charts
Brasil;02-04-2026;40;Panda, �caro e Gilmar, MJ Records;Baqueado - Ao Vivo;9;54;3011032;Spotify Charts
Brasil;02-04-2026;41;PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito;SEQU�NCIA FEITICEIRA;2;31;3010253;Spotify Charts
Brasil;02-04-2026;42;Turma do Pagode, Grupo Menos � Mais;Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo);15;88;2902433;Spotify Charts
Brasil;02-04-2026;43;Danilo e Davi;N�o Mexe nas Minhas Gavetas - Ao Vivo;25;9;2859899;Spotify Charts
Brasil;02-04-2026;44;Dominic Fike;Babydoll;44;6;2851972;Spotify Charts
Brasil;02-04-2026;45;BTS;One More Night;27;2;2824276;Spotify Charts
Brasil;02-04-2026;46;Mc Lele JP, DJ Guh Mix;Toma Gostosona;23;22;2821675;Spotify Charts
Brasil;02-04-2026;47;BTS;Please;30;2;2778198;Spotify Charts
Brasil;02-04-2026;48;Filho do Piseiro;Raparigas;26;8;2777305;Spotify Charts
Brasil;02-04-2026;49;Luan Pereira, Panda;10 SEGUNDOS;25;5;2742707;Spotify Charts
Brasil;02-04-2026;50;Danilo e Davi;Apaga Apaga Apaga - Ao Vivo;1;73;2717812;Spotify Charts
Per�;02-04-2026;1;BTS;SWIM;1;2;1542005;Spotify Charts
Per�;02-04-2026;2;Ya Ice Dilan, Rey Tony, Helabusador, JipMusic Global, Dj Honda;Dichavate;1;5;997853;Spotify Charts
Per�;02-04-2026;3;BTS;Body to Body;2;2;713896;Spotify Charts
Per�;02-04-2026;4;BTS;Hooligan;4;2;641032;Spotify Charts
Per�;02-04-2026;5;BTS;Like Animals;5;2;596548;Spotify Charts
Per�;02-04-2026;6;BTS;2.0;6;2;587052;Spotify Charts
Per�;02-04-2026;7;BTS;FYA;5;2;583296;Spotify Charts
Per�;02-04-2026;8;BTS;NORMAL;8;2;579703;Spotify Charts
Per�;02-04-2026;9;BTS;Aliens;7;2;564227;Spotify Charts
Per�;02-04-2026;10;Bad Bunny;BAILE INoLVIDABLE;1;65;556208;Spotify Charts
Per�;02-04-2026;11;Omar Courtz;KOKO;11;6;554792;Spotify Charts
Per�;02-04-2026;12;BTS;they don�t know �bout us;10;2;549049;Spotify Charts
Per�;02-04-2026;13;Young Cister, Kreamly;QLOO*;1;44;540527;Spotify Charts
Per�;02-04-2026;14;El Bogueto, Yung Beef;Cuando No Era Cantante;1;23;517288;Spotify Charts
Per�;02-04-2026;15;BTS;Merry Go Round;11;2;508707;Spotify Charts
Per�;02-04-2026;16;Danny Ocean;Me Reh�so;1;479;498725;Spotify Charts
Per�;02-04-2026;17;Fuerza Regida, Grupo Frontera;COQUETA;6;51;494009;Spotify Charts
Per�;02-04-2026;18;Ryan Castro, Kapo, Gangsta;LA VILLA;2;15;488355;Spotify Charts
Per�;02-04-2026;19;BTS;Please;13;2;482362;Spotify Charts
Per�;02-04-2026;20;BTS;One More Night;12;2;475462;Spotify Charts
Per�;02-04-2026;21;Be�le;no tiene sentido;2;46;467549;Spotify Charts
Per�;02-04-2026;22;BTS;Into the Sun;15;2;444691;Spotify Charts
Per�;02-04-2026;23;Bad Bunny;EoO;2;65;440195;Spotify Charts
Per�;02-04-2026;24;Plan B;Es un Secreto;11;256;437156;Spotify Charts
Per�;02-04-2026;25;W Sound, Be�le, Ovy On The Drums;La Plena - W Sound 05;1;58;436676;Spotify Charts
Per�;02-04-2026;26;BTS;No. 29;14;2;436191;Spotify Charts
Per�;02-04-2026;27;J Balvin, Bad Bunny;LA CANCI�N;2;353;426120;Spotify Charts
Per�;02-04-2026;28;Rels B;TU VAS SIN (fav);3;39;424525;Spotify Charts
Per�;02-04-2026;29;Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;YOGURCITO REMIX (feat. Kris R., ROA);2;31;424016;Spotify Charts
Per�;02-04-2026;30;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;Cuando No Era Cantante - Remix;15;15;423734;Spotify Charts
Per�;02-04-2026;31;Danny Ocean;Coraz�n;10;35;416742;Spotify Charts
Per�;02-04-2026;32;Masiel Malaga Y Su Salsa Red;Cuando se Ama;8;10;413750;Spotify Charts
Per�;02-04-2026;33;Milo j;Ni�o;21;27;410886;Spotify Charts
Per�;02-04-2026;34;Romeo Santos, Prince Royce;Dardos;24;16;410137;Spotify Charts
