rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2KpDYs0MexRXVAqNoHhJwk","Katteyes, SINAKA","ALO","Rimas Entertainment LLC.",1,-1,1,"2279931"
2,"spotify:track:6g1u7IdhcA9rZUV3Pizsj8","SINAKA","SENDA BELLAKONA","2025 Sinaka under exclusive license to BZR Music LLC",1,1,11,"1813961"
3,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,2,81,"1300227"
4,"spotify:track:5wPTk2TCDDuQRfqkZukWnk","King Savagge, Lyon la f, Katteyes, Lewis Somes","Pasajero","King savagge",1,7,12,"1154683"
5,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,3,8,"1131235"
6,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,8,57,"987800"
7,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",3,9,57,"941932"
8,"spotify:track:4j5ZSTHkXQbV0c8EassD0N","Germanini, Lyon la f, JhonAlex, Nacho G Flow","Comando Estelar","Stars Music Chile 2024",1,5,25,"907939"
9,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",1,10,57,"883125"
10,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",3,4,16,"877975"
11,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",6,13,57,"853926"
12,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",6,6,38,"853020"
13,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,19,57,"820658"
14,"spotify:track:47aX1tXPTBpAG8Y2iAYmiy","Jere Klein, Katteyes, Mateo on the Beatz","TODO KE VER","2025 JERE KLEIN",1,12,26,"801739"
15,"spotify:track:6wg4Cy4qOP12tmPYLtFnvI","SINAKA, Easykid","DESCONTROL","2025 Sinaka under exclusive license to BZR Music LLC",15,18,11,"799219"
16,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",16,16,5,"779613"
17,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",2,11,50,"754743"
18,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",17,17,28,"709202"
19,"spotify:track:0neouvsGp68ZH1D92bsMVQ","Eloy, Randy Nota Loca","Fuera del Planeta","All In Music",19,20,33,"689013"
20,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",8,15,23,"688464"
21,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",5,26,57,"681052"
22,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",9,22,57,"672862"
23,"spotify:track:5SudOD9R1Of6CsJVWZy6CQ","Romeo Santos, Prince Royce","Dardos","Sony Music Latin",14,14,7,"671591"
24,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",24,35,42,"621425"
25,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",10,21,59,"621378"
26,"spotify:track:7CMj1OOS1ho4CPEQTFKzcN","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",1,23,37,"601076"
27,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",9,24,13,"596932"
28,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",4,61,64,"596506"
29,"spotify:track:6jBoUckd6VEImt6pg8RpDr","Kidd Voodoo, JC Reyes","Me Mareo","Kidd Voodoo",3,29,33,"586983"
30,"spotify:track:6A8ZNt71PS4PuBtxbdXV0L","Cris MJ","30 Mil Pies","Sonar LLC.",7,32,17,"564046"
31,"spotify:track:72aGCwuSwD5Qb3tHvXBoX3","Easykid, Dysbit","Shiny","Easykid",1,25,34,"561673"
32,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",11,27,26,"557862"
33,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",9,44,34,"546685"
34,"spotify:track:2tZNPwTLefIc2hUasTohfB","Jere Klein, Bayriton, Adan La Amenaza","TU Y YO","2025 JERE KLEIN",1,31,15,"545529"
35,"spotify:track:2XsNvTXYuCNCoz94bPBrPB","Katteyes, Jere Klein, Lucky Brown","BAILAME ASI","KATTEYES LLC/Sony Music Latin",1,38,33,"544509"
36,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",20,30,35,"536956"
37,"spotify:track:16H0X18lIoNvmbsPE3p4VI","Piero 47","M5","Piero 47 oficial",37,-1,1,"518138"
38,"spotify:track:1KfiYYMCZkP7no8DdkXFDl","Tobal Mj, Lucky Brown, Nacho G Flow","Tiene","Tobal Mj",3,33,49,"514061"
39,"spotify:track:4aDbrgm1ZaebS1Bb2dOXac","Milo j","Niño","Sony Music Latin",25,37,19,"511084"
40,"spotify:track:623kbEIDhzRFLVk1r8cBTm","W Sound, Cris MJ, Ovy On The Drums","Chica Galáctica - W Sound 07","WEA Latina",10,28,10,"510694"
41,"spotify:track:0c27qjzqEgMLMnWTl5bCU8","benjitalkapone","Mambinho Brasileño","Nextlevel music",1,36,37,"498090"
42,"spotify:track:1Ms2WIZyWzz1Z3RhX7WZRO","Lucky Brown, Big Cvyu","Qué Será","Lucky Brown",4,34,22,"492750"
43,"spotify:track:5MjGl97aQlcBBvbYBHbXWv","Tobal Mj, Lyon la f, Nacho G Flow, Daimi","Te Vas","Tobal Mj",4,41,14,"490255"
44,"spotify:track:4AL4EamHEBKPpdcFRkYdXN","Lauta, Amigo de Artistas, Tote","Puñaladas","LEB Records",44,54,4,"485656"
45,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",28,39,197,"482080"
46,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",14,43,33,"469511"
47,"spotify:track:1iTBWVDuQaQ7yMybZri66d","Kidd Voodoo","Destello...","Kidd Voodoo",1,48,26,"459052"
48,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",5,51,265,"456764"
