rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:7sRXb5IgYWwVv1DaavHSNs;Blessd, Fuerza Regida, Ovy On The Drums;COMO OREO;WEA Latina;1;1;14;1958603
2;spotify:track:6VfL3MEuYeJbDlD8m011HR;Beéle;quédate;5020 Records;2;2;29;1627995
3;spotify:track:6iOndD4OFo7GkaDypWQIou;W Sound, Beéle, Ovy On The Drums;La Plena - W Sound 05;WEA Latina;1;4;41;1529007
4;spotify:track:7nrd0eIftH3NQLfgk20Qp9;Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;YOGURCITO REMIX (feat. Kris R., ROA);WEA Latina;1;3;15;1373755
5;spotify:track:6rZno3nqeT7hv2PnSWRuYS;Blessd;YOGURCITO;WEA Latina;4;10;66;1180965
6;spotify:track:7koAf6aZgjO6TS7bipfPD0;Ovy On The Drums, Quevedo, Beéle;YO y TÚ;WEA Latina;2;5;25;1160691
7;spotify:track:1HEwEN64NjgTaHmo7LfkX8;Beéle;no tiene sentido;5020 Records;2;7;29;1137373
8;spotify:track:2QP041AcWg8PwPIWP95RKN;Beéle;top diesel;5020 Records;3;8;29;1106427
9;spotify:track:0lMafSfME2iJEE972bsQaK;Kybba, Sean Paul, Ryan Castro, Busy Signal;Ba Ba Bad Remix;Basshall;2;9;23;1103337
10;spotify:track:4zhk2RS2EZODmBW6il55Qj;Beéle, Ovy On The Drums;mi refe;5020 Records;1;6;52;1087538
11;spotify:track:0Qe2g06yzLBuuSvVmFiweP;Nanpa Básico, Beéle;Hasta Aquí Llegué;5020 Records;3;12;72;1054750
12;spotify:track:1kJyDcBrZ7rSKnFtKc82vm;Blessd, Ovy On The Drums;AMISTA;WEA Latina;2;13;32;1013232
13;spotify:track:6qDTm2QbRSLlSmaUSJE6bF;Blessd, GeezyDee;DIOMEDEZ;WEA Latina;1;11;6;980056
14;spotify:track:46ufabZP6oK3ixmN6Gd753;Ryan Castro, Dongo;SANKA;AWOO Corp./Sony Music Latin;7;14;26;917843
15;spotify:track:52IeC2QBiJqk9jAR5gbe14;Kris R., GeezyDee, Prodmonja;BOBADITA;WEA Latina;15;16;5;840120
16;spotify:track:1C7NXX8UJ6pgNx8EkmyZDd;Beéle;si te pillara;5020 Records;6;15;28;834929
17;spotify:track:7fqHCkfwrKu58t4JQSE0Kq;El Goldo, Pirlo;EL FICTICIO;Navia Music Publishing Entertainment SAS;17;27;2;825962
18;spotify:track:569xAmXCkpM3IsEOiG4hWe;Kenny Die, Blessd, Kris R., Sebas;Ultra Complicado (feat. Sebas) - Remix;WEA Latina;3;19;42;813994
19;spotify:track:614NVFo5csQqRnryl4jXs2;"Héctor ""El Father"", Wisin & Yandel";El Teléfono;Machete Music;19;21;18;813785
20;spotify:track:4zqFA9MOG86u7uugR8QFDU;Kapo, Ryan Castro;DÓNDE;Sony Music Latin/La Industria;14;18;22;806273
21;spotify:track:6uiQ0DqbXTBc8tl0AUKZkR;Rels B;TU VAS SIN (fav);DALE PLAY Records / Flakk Team;14;17;22;797018
22;spotify:track:5yXt80BNZGbmHFd0NHZHNn;Grupo Firme;El Beneficio De La Duda;Music VIP Entertainment Presenta Grupo Firme;22;22;41;777854
23;spotify:track:0fMjldiEpgjbWQ4bBQwVzH;Kapo;UWAIE;Sony Music Latin/La Industria;1;33;68;765480
24;spotify:track:0nafF9MxcXJBQWv3BTKtdF;KAROL G, Feid;Verano Rosa;Bichota/Interscope Records;5;26;24;759604
25;spotify:track:5U3sC7aA5NxoMSeI1kmO2n;Blessd, Los Money Makers, Prodmonja;NUEVA YORK;WEA Latina;25;29;27;748001
26;spotify:track:7bywjHOc0wSjGGbj04XbVi;Feid, ATL Jacob;LUNA;UMLE - Latino;1;38;105;711798
27;spotify:track:3S6RJCUm6TJCGyFnOopr4l;Rodolfo Aicardi, Los Hispanos;Cariñito;Discos Fuentes Edimúsica S.A.S.;18;102;33;707471
28;spotify:track:2btNsI4OvcVl7SAHQQDHFB;Blessd, Ovy On The Drums;Mírame;WEA Latina;1;34;85;694377
29;spotify:track:44xDy4h27s4ENaC8fKnCoC;El Bogueto, Yung Beef;Cuando No Era Cantante;Candela Music;29;45;5;682158
30;spotify:track:2hScMilrNzlbD9VD88t7jD;Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee;40 DE DICIEMBRE (feat. GeezyDee, CARABIN3);WEA Latina;10;32;4;676008
31;spotify:track:3KZCP2StVGdWkOKyRZNWA4;Plan B;Es un Secreto;Pina Records;18;37;253;675840
32;spotify:track:2lTm559tuIvatlT1u0JYG2;Bad Bunny;BAILE INoLVIDABLE;Rimas Entertainment LLC.;1;41;48;675631
33;spotify:track:10B0cONtHL7b8hdMRE2Du6;Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY;BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3);WEA Latina;8;23;4;670862
34;spotify:track:2tKVinInf0PJS1iG04zzqi;Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren;UNA NOCHE DE LOCURA;WEA Latina;10;24;28;668313
35;spotify:track:1o4xkdBe0RjSf2u6VXi4OI;Yan Block, Panda Black;444;SONAR LLC.;25;39;72;665274
36;spotify:track:13BDiikG6y5o5cQTK0HpW6;W Sound, Blessd, Ovy On The Drums;Soltera - W Sound 01;WEA Latina;1;20;70;658724
37;spotify:track:1PREzVLuDT6PSE9sej4wnV;Fuerza Regida, Grupo Frontera;COQUETA;Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin;19;28;31;657399
38;spotify:track:2ZyrAym0sRLwt4PhGotHuI;Ryan Castro, Kapo, Gangsta;LA VILLA;AWOO Corp./Sony Music Latin;38;56;5;634939
39;spotify:track:73gesm262Pgbk7j0SEpijT;Kris R.;LOS CACORROS USAN KLEIMOND;WEA Latina;4;25;10;631783
40;spotify:track:4sTnItbNUAcS5KDG6vTA5B;Blessd, Los Money Makers, Prodmonja;URUS BLUE;WEA Latina;22;31;27;630249
