rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:73PS9sOst7Jwxn95n0AlBS","W Sound, Kris R., Ovy On The Drums","Pico Y Chao (W Sound 08)","WEA Latina",1,2,5,"1987809"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,1,3,"1455976"
3,"spotify:track:3yidFe42tke37g3KP7wzZr","Mr Plata, El Americano 4KT","Las Muñequitas","Universal Music Colombia S.A.S.",1,3,14,"1437153"
4,"spotify:track:0bn8tRZZtmn6Zdq82T1mOf","Kris R., GeezyDee","TUKI TUKI","WEA Latina",4,7,4,"1410430"
5,"spotify:track:3CBEVPwR3kUXDoTx1lqFUQ","ARIA VEGA, Ryan Castro","CHÉVERE (premium_remix)","WEA Latina",2,4,8,"1399758"
6,"spotify:track:5pWjftak57bAYP6yjQPBhq","Kris R.","GANAS","WEA Latina",2,5,12,"1381572"
7,"spotify:track:5U3sC7aA5NxoMSeI1kmO2n","Blessd, Los Money Makers, Prodmonja","NUEVA YORK","WEA Latina",7,8,45,"1217548"
8,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",1,6,23,"1153357"
9,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,9,59,"1008305"
10,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",10,10,9,"999500"
11,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",11,21,6,"959438"
12,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,13,47,"889692"
13,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",3,11,59,"879758"
14,"spotify:track:2E4TYekUduml1DWIqQWNcj","Yeison Jimenez, Luis Alfonso","Destino Final","Yeison Jimenez",1,12,18,"871737"
15,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",4,15,84,"850796"
16,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,14,47,"847888"
17,"spotify:track:1kJyDcBrZ7rSKnFtKc82vm","Blessd, Ovy On The Drums","AMISTA","WEA Latina",2,16,50,"824864"
18,"spotify:track:2dbbYIXYJQzJoUoOl6i0LY","Luister La Voz","La María","Dinastia INC",17,17,3,"780165"
19,"spotify:track:05VbdLk0EFNUdF2CSwFI3U","Kris R.","PH","WEA Latina",18,22,4,"762189"
20,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",16,18,49,"742991"
21,"spotify:track:50QNXm5mb1sUNhI4iTSzl9","Feid","Que vuelta vox","Universal Music Latino/ Grabaciones Los Poderosos",21,25,3,"707923"
22,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",1,30,86,"674107"
23,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",23,29,14,"670403"
24,"spotify:track:4zqFA9MOG86u7uugR8QFDU","Kapo, Ryan Castro","DÓNDE","Sony Music Latin/La Industria",13,28,40,"667122"
25,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,24,66,"663059"
26,"spotify:track:595wwjQiad6e6lSTScmXvz","Omar Courtz","POR SI MAÑANA NO ESTOY","Rimas Entertainment LLC.",25,52,7,"660076"
27,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",1,20,33,"651149"
28,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",1,19,70,"642019"
29,"spotify:track:4acvrfbXrDPFQNNDnFZnpC","Luister La Voz, maikol el insoportable","Ozono","Grupo B Entertainment",29,32,8,"641264"
30,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",3,37,90,"634423"
31,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,31,354,"633248"
32,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",1,34,123,"628868"
33,"spotify:track:7CGUgOBXrfaXXvY73GzOXE","Lil Naay","UNA BABY EN SANTIAGO","1844",33,79,4,"628176"
34,"spotify:track:46ufabZP6oK3ixmN6Gd753","Ryan Castro, Dongo","SANKA","AWOO Corp./Sony Music Latin",7,26,44,"627639"
35,"spotify:track:4sTnItbNUAcS5KDG6vTA5B","Blessd, Los Money Makers, Prodmonja","URUS BLUE","WEA Latina",22,33,45,"612978"
36,"spotify:track:5NbIHx26LyFkW2oSNSCYBV","Blessd, Ovy On The Drums","""EMHDM""","WEA Latina",12,56,7,"594417"
