rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3e32UUqXzrI4g2y5kNZrwC","Peso Pluma, Tito Double P","dopamina","Double P Records",1,1,2,"13552038"
2,"spotify:track:136BeIIoBGrrU9fI1jbcDR","Peso Pluma, Tito Double P","daño","Double P Records",2,5,2,"10543134"
3,"spotify:track:33MeEaRCeIQMSRyFTr5ZJU","Neton Vega","Pvta Luna","Josa Records (Neton Vega)",1,3,15,"8434542"
4,"spotify:track:4qfkZtOGVw2BXa05wqXKkV","Peso Pluma, Tito Double P","bckpckbyz","Double P Records",2,2,2,"8420028"
5,"spotify:track:7xLfNI4gRNTu6FyXJlzBW5","Peso Pluma, Tito Double P","ni pedo","Double P Records",4,4,2,"7857084"
6,"spotify:track:4lzo6zPM2paqyP8oBp3DOs","Peso Pluma, Tito Double P","7-3","Double P Records",6,10,2,"7827599"
7,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",4,6,8,"7695957"
8,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",1,7,54,"7630848"
9,"spotify:track:2GP6UzoA55p6yYiPCGyEhg","Omar Camacho, Victor Mendivil","2+2","Rico o Muerto by Baja Sound LLC",1,9,28,"7266394"
10,"spotify:track:2pbSCYzxrG0wa6qcj8IyiE","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",3,11,4,"6579380"
11,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",1,12,36,"6089928"
12,"spotify:track:4BXbjwe562hQ8AzEV5lmPc","Peso Pluma, Tito Double P","putielegante","Double P Records",12,13,2,"6078075"
13,"spotify:track:30ECWSoejTkHDqo0yMpf6y","Virlan Garcia","Mi Entorno","La Cima Records",7,14,12,"6073252"
14,"spotify:track:6yIlqK2Pye64ZUPFfNzsXy","Peso Pluma, Tito Double P","intro","Double P Records",8,8,7,"5738695"
15,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",2,15,30,"5497398"
16,"spotify:track:2MzaScXAL8wrSU9tlEijo6","BeatBoy, Victor Mendivil","Pase y Toque","Xkalibvr Music",11,22,4,"5199394"
