artista,pais,apariciones,meses_presente,streams_total
Anuel AA,Argentina,9,6,9248166
Anuel AA,Chile,9,6,7662216
Anuel AA,Colombia,13,6,10926729
Anuel AA,Mexico,4,4,24141665
Bad Bunny,Argentina,44,6,37449377
Bad Bunny,Chile,43,6,27839598
Bad Bunny,Colombia,29,6,21496360
Bad Bunny,Mexico,20,6,73744233
Beéle,Argentina,24,6,24010839
Beéle,Chile,22,6,14657384
Beéle,Colombia,51,6,48976964
Blessd,Argentina,5,5,4182662
Blessd,Chile,5,5,3923390
Blessd,Colombia,61,6,54456490
El Bogueto,Argentina,10,6,14199394
El Bogueto,Chile,9,5,8186401
El Bogueto,Colombia,8,5,5173351
El Bogueto,Mexico,10,6,64435823
Fuerza Regida,Argentina,4,4,5065504
Fuerza Regida,Chile,7,4,5343451
Fuerza Regida,Colombia,14,6,12964322
Fuerza Regida,Mexico,56,6,259249830
Jere Klein,Argentina,5,5,4682454
Jere Klein,Chile,35,6,26092034
Junior H,Mexico,37,6,137895311
Kris R.,Argentina,5,5,4182662
Kris R.,Chile,5,5,3923390
Kris R.,Colombia,27,6,25926635
Ovy On The Drums,Argentina,17,6,17118923
Ovy On The Drums,Chile,23,6,14686683
Ovy On The Drums,Colombia,40,6,40392710
Peso Pluma,Mexico,49,6,269775448
Ryan Castro,Argentina,4,4,6571715
Ryan Castro,Chile,3,3,1917807
Ryan Castro,Colombia,29,6,27987143
Tito Double P,Mexico,52,6,283595539
Victor Mendivil,Mexico,31,6,142492883
Yung Beef,Argentina,10,6,14199394
Yung Beef,Chile,9,5,8186401
Yung Beef,Colombia,8,5,5173351
Yung Beef,Mexico,10,6,64435823
