pais,fecha,mes_muestra,rank,artist_names,artist_01,artist_02,artist_03,artist_04,artist_05,artist_06,artist_07,artist_08,artist_09,artist_10,nacionalidad_01,nacionalidad_02,nacionalidad_03,nacionalidad_04,nacionalidad_05,nacionalidad_06,nacionalidad_07,nacionalidad_08,nacionalidad_09,nacionalidad_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
Argentina,2025/11/06,noviembre_2025,1,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",Roze Oficial,Max Carra,Valen,RAMKY EN LOS CONTROLES,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,Tu jardín con enanitos,Sony Music Uruguay,1,1,24,2468159
Argentina,2025/11/06,noviembre_2025,2,"Young Cister, Kreamly",Young Cister,Kreamly,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,QLOO*,Sony Music Entertainment Chile S.A,2,2,19,1671001
Argentina,2025/11/06,noviembre_2025,3,Rels B,Rels B,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,3,3,16,1522062
Argentina,2025/11/06,noviembre_2025,4,"Ovy On The Drums, Quevedo, Beéle",Ovy On The Drums,Quevedo,Beéle,NA,NA,NA,NA,NA,NA,NA,Colombia,España,Colombia,NA,NA,NA,NA,NA,NA,NA,YO y TÚ,WEA Latina,4,7,21,1388321
Argentina,2025/11/06,noviembre_2025,5,"Jere Klein, Katteyes, Mateo on the Beatz",Jere Klein,Katteyes,Mateo on the Beatz,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,TODO KE VER,2025 JERE KLEIN,3,5,12,1339339
Argentina,2025/11/06,noviembre_2025,6,Milo j,Milo j,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niño,Sony Music Latin,6,6,6,1289728
Argentina,2025/11/06,noviembre_2025,7,"W Sound, Beéle, Ovy On The Drums",W Sound,Beéle,Ovy On The Drums,NA,NA,NA,NA,NA,NA,NA,Colombia,Colombia,Colombia,NA,NA,NA,NA,NA,NA,NA,La Plena - W Sound 05,WEA Latina,1,4,36,1259847
Argentina,2025/11/06,noviembre_2025,8,"Luck Ra, Miranda!",Luck Ra,Miranda!,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),Sony Music Latin,2,10,8,1145166
Argentina,2025/11/06,noviembre_2025,9,"Maria Becerra, TINI, XROSS",Maria Becerra,TINI,XROSS,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,NA,NA,NA,NA,NA,NA,NA,HASTA QUE ME ENAMORO,WEA Latina,9,24,7,1144903
Argentina,2025/11/06,noviembre_2025,10,"Easykid, Dysbit",Easykid,Dysbit,NA,NA,NA,NA,NA,NA,NA,NA,Chile,Chile,NA,NA,NA,NA,NA,NA,NA,NA,Shiny,Easykid,6,9,9,1137150
